Account,NetLiquidation
U12666466,164940.72
U12320396,99775.93
U12321651,357544.36
U10393335,426004.91
U12997920,106165.24
U11239176,97376.00
U12192213,112598.74
U9624456,172933.21
U12277193,101286.08
U11821945,105273.89
U12631300,144238.81
U12351347,141035.19
U12167071,114969.25
U10355581,359332.30
U12236925,101891.22
U10375548,734737.60
U9578694,81865.01
U12843298,103262.75
U11071406,417893.10
U12471035,366087.38
U12294610,159358.25
U9665342,102230.50
U13307582,105285.06
U11086471,430174.59
U12691955,155848.36
U11424382,86088.24
U5453084,364512.08
U4031188,271802.50
U13205293,60565.64
